Plate,Row,Column,Well,WellType,RFU,Pct_Activity
Plate 3,J,7,J07,Experimental,22704,75.89
Plate 3,I,6,I06,Experimental,22641,75.67
Plate 3,J,22,J22,Experimental,22604,75.55
Plate 3,N,11,N11,Experimental,22570,75.43
Plate 3,J,21,J21,Experimental,22519,75.26
Plate 3,H,4,H04,Experimental,22507,75.22
Plate 4,L,3,L03,Experimental,29436,98.2
Plate 4,L,9,L09,Experimental,29200,97.4
Plate 4,B,19,B19,Experimental,29107,97.09
Plate 4,F,13,F13,Experimental,29077,96.99
Plate 4,B,17,B17,Experimental,28602,95.39
Plate 4,J,15,J15,Experimental,28380,94.64
Plate 4,E,10,E10,Experimental,28158,93.89
Plate 4,N,19,N19,Experimental,28050,93.53
Plate 4,E,8,E08,Experimental,27750,92.52
Plate 4,P,4,P04,Experimental,27748,92.51
Plate 4,E,11,E11,Experimental,27332,91.11
Plate 4,E,4,E04,Experimental,26883,89.6
Plate 4,F,3,F03,Experimental,26765,89.2
Plate 4,P,17,P17,Experimental,26628,88.74
Plate 4,L,8,L08,Experimental,26486,88.26
Plate 4,E,9,E09,Experimental,26247,87.45
Plate 4,N,14,N14,Experimental,26199,87.29
Plate 4,D,11,D11,Experimental,26172,87.2
Plate 4,I,9,I09,Experimental,25925,86.37
Plate 4,C,20,C20,Experimental,25914,86.33
Plate 4,J,8,J08,Experimental,25886,86.24
Plate 4,A,4,A04,Experimental,25638,85.4
Plate 4,J,17,J17,Experimental,25507,84.96
Plate 4,P,9,P09,Experimental,25377,84.52
Plate 4,I,6,I06,Experimental,25351,84.43
Plate 4,C,18,C18,Experimental,25303,84.27
Plate 4,D,4,D04,Experimental,25228,84.02
Plate 4,L,14,L14,Experimental,25082,83.53
Plate 4,G,5,G05,Experimental,24955,83.1
Plate 4,K,22,K22,Experimental,24828,82.67
Plate 4,N,17,N17,Experimental,24785,82.53
Plate 4,P,12,P12,Experimental,24611,81.94
Plate 4,M,8,M08,Experimental,24504,81.58
Plate 4,M,7,M07,Experimental,24491,81.54
Plate 4,J,10,J10,Experimental,24359,81.09
Plate 4,O,9,O09,Experimental,24339,81.03
Plate 4,L,16,L16,Experimental,24323,80.97
Plate 4,G,4,G04,Experimental,24284,80.84
Plate 4,O,10,O10,Experimental,23992,79.86
Plate 4,K,6,K06,Experimental,23624,78.62
Plate 4,L,10,L10,Experimental,23212,77.23
Plate 4,M,11,M11,Experimental,23163,77.06
Plate 4,F,4,F04,Experimental,23130,76.95
Plate 4,C,9,C09,Experimental,23080,76.78
Plate 4,F,5,F05,Experimental,23048,76.68
Plate 4,F,6,F06,Experimental,22978,76.44
Plate 4,H,16,H16,Experimental,22900,76.18
Plate 4,K,5,K05,Experimental,22876,76.1
Plate 4,M,4,M04,Experimental,22753,75.68
Plate 5,F,4,F04,Experimental,29438,99.89
Plate 5,H,17,H17,Experimental,28964,98.27
Plate 5,P,19,P19,Experimental,28810,97.74
Plate 5,A,13,A13,Experimental,28331,96.1
Plate 5,A,11,A11,Experimental,28251,95.83
Plate 5,D,9,D09,Experimental,28114,95.36
Plate 5,N,14,N14,Experimental,27706,93.96
Plate 5,C,9,C09,Experimental,27420,92.98
Plate 5,I,20,I20,Experimental,27353,92.75
Plate 5,G,12,G12,Experimental,27301,92.57
Plate 5,M,21,M21,Experimental,26710,90.55
Plate 5,O,15,O15,Experimental,26710,90.55
Plate 5,B,4,B04,Experimental,26606,90.19
Plate 5,A,16,A16,Experimental,25950,87.94
Plate 5,J,9,J09,Experimental,25583,86.68
Plate 5,C,12,C12,Experimental,25387,86.01
Plate 5,O,21,O21,Experimental,25364,85.93
Plate 5,M,12,M12,Experimental,24988,84.64
Plate 5,J,22,J22,Experimental,24943,84.49
Plate 5,C,20,C20,Experimental,24915,84.39
Plate 5,B,11,B11,Experimental,24687,83.61
Plate 5,O,11,O11,Experimental,24544,83.12
Plate 5,H,13,H13,Experimental,24436,82.75
Plate 5,P,5,P05,Experimental,24338,82.42
Plate 5,D,3,D03,Experimental,24046,81.42
Plate 5,I,3,I03,Experimental,23983,81.2
Plate 5,P,18,P18,Experimental,23685,80.18
Plate 5,E,22,E22,Experimental,23533,79.66
Plate 5,K,12,K12,Experimental,23470,79.44
Plate 5,K,15,K15,Experimental,23372,79.11
Plate 5,G,11,G11,Experimental,23299,78.86
Plate 5,D,21,D21,Experimental,23209,78.55
Plate 5,I,14,I14,Experimental,23153,78.36
Plate 5,B,10,B10,Experimental,23140,78.31
Plate 5,F,15,F15,Experimental,23013,77.88
Plate 5,D,20,D20,Experimental,23011,77.87
Plate 5,C,16,C16,Experimental,22911,77.53
Plate 5,E,4,E04,Experimental,22640,76.6
Plate 5,O,10,O10,Experimental,22623,76.54
Plate 5,L,3,L03,Experimental,22581,76.4
Plate 5,B,19,B19,Experimental,22188,75.05
Plate 5,A,9,A09,Experimental,22180,75.02
