Plate,Row,Column,Well,WellType,RFU,Pct_Activity
Plate 1,C,1,C01,Low,327,0.13
Plate 1,C,2,C02,High,6473,28.67
Plate 1,C,3,C03,Experimental,17592,80.3
Plate 1,C,4,C04,Experimental,11919,53.95
Plate 1,C,5,C05,Experimental,9584,43.11
Plate 1,C,6,C06,Experimental,19893,90.98
Plate 1,C,7,C07,Experimental,23247,106.56
Plate 1,C,8,C08,Experimental,22450,102.86
Plate 1,C,9,C09,Experimental,8286,37.08
Plate 1,C,10,C10,Experimental,12526,56.77
Plate 1,C,11,C11,Experimental,17650,80.57
Plate 1,C,12,C12,Experimental,22804,104.5
Plate 1,C,13,C13,Experimental,11166,50.46
Plate 1,C,14,C14,Experimental,13514,61.36
Plate 1,C,15,C15,Experimental,6149,27.16
Plate 1,C,16,C16,Experimental,5430,23.82
Plate 1,C,17,C17,Experimental,21500,98.44
Plate 1,C,18,C18,Experimental,25849,118.64
Plate 1,C,19,C19,Experimental,14423,65.58
Plate 1,C,20,C20,Experimental,23028,105.54
Plate 1,C,21,C21,Experimental,17893,81.7
Plate 1,C,22,C22,Experimental,9839,44.3
Plate 1,C,23,C23,Low,328,0.13
Plate 1,C,24,C24,High,33076,152.2
Plate 1,D,1,D01,Low,297,-0.01
Plate 1,D,2,D02,High,13129,59.57
Plate 1,D,3,D03,Experimental,200,-0.46
Plate 1,D,4,D04,Experimental,21575,98.79
Plate 1,D,5,D05,Experimental,15696,71.49
Plate 1,D,6,D06,Experimental,12607,57.15
Plate 1,D,7,D07,Experimental,15734,71.67
Plate 1,D,8,D08,Experimental,200,-0.46
Plate 1,D,9,D09,Experimental,13242,60.1
Plate 1,D,10,D10,Experimental,17856,81.52
Plate 1,D,11,D11,Experimental,26823,123.16
Plate 1,D,12,D12,Experimental,10853,49.0
Plate 1,D,13,D13,Experimental,8532,38.23
Plate 1,D,14,D14,Experimental,10985,49.62
Plate 1,D,15,D15,Experimental,22323,102.27
Plate 1,D,16,D16,Experimental,17630,80.47
Plate 1,D,17,D17,Experimental,10761,48.58
Plate 1,D,18,D18,Experimental,19106,87.33
Plate 1,D,19,D19,Experimental,15776,71.86
Plate 1,D,20,D20,Experimental,22749,104.24
Plate 1,D,21,D21,Experimental,9383,42.18
Plate 1,D,22,D22,Experimental,12378,56.09
Plate 1,D,23,D23,Low,268,-0.15
Plate 1,D,24,D24,High,27072,124.32
Plate 1,E,1,E01,Low,323,0.11
Plate 1,E,2,E02,High,10522,47.47
Plate 1,E,3,E03,Experimental,15040,68.45
Plate 1,E,4,E04,Experimental,13123,59.55
Plate 1,E,5,E05,Experimental,3677,15.68
Plate 1,E,6,E06,Experimental,11634,52.63
Plate 1,E,7,E07,Experimental,12258,55.53
Plate 1,E,8,E08,Experimental,8581,38.45
Plate 1,E,9,E09,Experimental,13709,62.27
Plate 1,E,10,E10,Experimental,18232,83.27
Plate 1,E,11,E11,Experimental,30089,138.33
Plate 1,E,12,E12,Experimental,16396,74.74
Plate 1,E,13,E13,Experimental,17060,77.83
Plate 1,E,14,E14,Experimental,14404,65.49
Plate 1,E,15,E15,Experimental,200,-0.46
Plate 1,E,16,E16,Experimental,14787,67.27
Plate 1,E,17,E17,Experimental,15481,70.5
Plate 1,E,18,E18,Experimental,34705,159.76
Plate 1,E,19,E19,Experimental,13461,61.12
Plate 1,E,20,E20,Experimental,17412,79.46
Plate 1,E,21,E21,Experimental,14722,66.97
Plate 1,E,22,E22,Experimental,5650,24.84
Plate 1,E,23,E23,Low,391,0.42
Plate 1,E,24,E24,High,31503,144.89
Plate 1,F,1,F01,Low,363,0.29
Plate 1,F,2,F02,High,8181,36.6
Plate 1,F,3,F03,Experimental,26222,120.37
Plate 1,F,4,F04,Experimental,3785,16.18
Plate 1,F,5,F05,Experimental,19694,90.06
Plate 1,F,6,F06,Experimental,32523,149.63
Plate 1,F,7,F07,Experimental,7075,31.46
Plate 1,F,8,F08,Experimental,10469,47.22
Plate 1,F,9,F09,Experimental,15797,71.96
Plate 1,F,10,F10,Experimental,10972,49.56
Plate 1,F,11,F11,Experimental,2594,10.65
Plate 1,F,12,F12,Experimental,15548,70.81
Plate 1,F,13,F13,Experimental,6501,28.8
Plate 1,F,14,F14,Experimental,18788,85.85
Plate 1,F,15,F15,Experimental,7644,34.1
Plate 1,F,16,F16,Experimental,27399,125.84
Plate 1,F,17,F17,Experimental,8733,39.16
Plate 1,F,18,F18,Experimental,12423,56.3
Plate 1,F,19,F19,Experimental,21508,98.48
Plate 1,F,20,F20,Experimental,5153,22.54
Plate 1,F,21,F21,Experimental,16819,76.71
Plate 1,F,22,F22,Experimental,25457,116.82
Plate 1,F,23,F23,Low,171,-0.6
Plate 1,F,24,F24,High,30369,139.63
Plate 1,G,1,G01,Low,320,0.09
Plate 1,G,2,G02,High,11563,52.3
Plate 1,G,3,G03,Experimental,5104,22.31
Plate 1,G,4,G04,Experimental,4436,19.21
Plate 1,G,5,G05,Experimental,19175,87.65
Plate 1,G,6,G06,Experimental,17375,79.29
Plate 1,G,7,G07,Experimental,17003,77.56
Plate 1,G,8,G08,Experimental,17771,81.13
Plate 1,G,9,G09,Experimental,9559,43.0
Plate 1,G,10,G10,Experimental,16858,76.89
Plate 1,G,11,G11,Experimental,17344,79.15
Plate 1,G,12,G12,Experimental,9285,41.72
Plate 1,G,13,G13,Experimental,29926,137.57
Plate 1,G,14,G14,Experimental,18790,85.86
Plate 1,G,15,G15,Experimental,5469,24.0
Plate 1,G,16,G16,Experimental,20252,92.65
Plate 1,G,17,G17,Experimental,7202,32.05
Plate 1,G,18,G18,Experimental,21296,97.5
Plate 1,G,19,G19,Experimental,24268,111.3
Plate 1,G,20,G20,Experimental,8434,37.77
Plate 1,G,21,G21,Experimental,22707,104.05
Plate 1,G,22,G22,Experimental,18302,83.59
Plate 1,G,23,G23,Low,365,0.3
Plate 1,G,24,G24,High,33793,155.53
Plate 1,H,1,H01,Low,280,-0.09
Plate 1,H,2,H02,High,8492,38.04
Plate 1,H,3,H03,Experimental,7883,35.21
Plate 1,H,4,H04,Experimental,8473,37.95
Plate 1,H,5,H05,Experimental,14383,65.4
Plate 1,H,6,H06,Experimental,17729,80.93
Plate 1,H,7,H07,Experimental,17213,78.54
Plate 1,H,8,H08,Experimental,21617,98.99
Plate 1,H,9,H09,Experimental,15104,68.74
Plate 1,H,10,H10,Experimental,26628,122.26
Plate 1,H,11,H11,Experimental,12882,58.43
Plate 1,H,12,H12,Experimental,36761,169.31
Plate 1,H,13,H13,Experimental,20005,91.5
Plate 1,H,14,H14,Experimental,8142,36.42
Plate 1,H,15,H15,Experimental,6432,28.48
Plate 1,H,16,H16,Experimental,18859,86.18
Plate 1,H,17,H17,Experimental,13212,59.96
Plate 1,H,18,H18,Experimental,20712,94.79
Plate 1,H,19,H19,Experimental,18785,85.84
Plate 1,H,20,H20,Experimental,14417,65.55
Plate 1,H,21,H21,Experimental,8225,36.8
Plate 1,H,22,H22,Experimental,2881,11.99
Plate 1,H,23,H23,Low,264,-0.17
Plate 1,H,24,H24,High,31712,145.86
Plate 1,I,1,I01,Low,317,0.08
Plate 1,I,2,I02,High,27508,126.34
Plate 1,I,3,I03,Experimental,16385,74.69
Plate 1,I,4,I04,Experimental,18082,82.57
Plate 1,I,5,I05,Experimental,7929,35.43
Plate 1,I,6,I06,Experimental,16229,73.97
Plate 1,I,7,I07,Experimental,15465,70.42
Plate 1,I,8,I08,Experimental,5856,25.8
Plate 1,I,9,I09,Experimental,17862,81.55
Plate 1,I,10,I10,Experimental,19486,89.09
Plate 1,I,11,I11,Experimental,23664,108.49
Plate 1,I,12,I12,Experimental,23430,107.41
Plate 1,I,13,I13,Experimental,3978,17.08
Plate 1,I,14,I14,Experimental,7497,33.42
Plate 1,I,15,I15,Experimental,19120,87.39
Plate 1,I,16,I16,Experimental,19110,87.35
Plate 1,I,17,I17,Experimental,19120,87.39
Plate 1,I,18,I18,Experimental,38000,175.06
Plate 1,I,19,I19,Experimental,19567,89.47
Plate 1,I,20,I20,Experimental,24084,110.44
Plate 1,I,21,I21,Experimental,22632,103.7
Plate 1,I,22,I22,Experimental,20211,92.46
Plate 1,I,23,I23,High,9369,42.11
Plate 1,I,24,I24,High,31517,144.96
Plate 1,J,1,J01,Low,238,-0.29
Plate 1,J,2,J02,High,29526,135.71
Plate 1,J,3,J03,Experimental,11117,50.23
Plate 1,J,4,J04,Experimental,15654,71.3
Plate 1,J,5,J05,Experimental,33517,154.25
Plate 1,J,6,J06,Experimental,200,-0.46
Plate 1,J,7,J07,Experimental,20490,93.75
Plate 1,J,8,J08,Experimental,2098,8.35
Plate 1,J,9,J09,Experimental,11224,50.73
Plate 1,J,10,J10,Experimental,23711,108.71
Plate 1,J,11,J11,Experimental,15514,70.65
Plate 1,J,12,J12,Experimental,6378,28.22
Plate 1,J,13,J13,Experimental,9277,41.69
Plate 1,J,14,J14,Experimental,20436,93.5
Plate 1,J,15,J15,Experimental,9157,41.13
Plate 1,J,16,J16,Experimental,16731,76.3
Plate 1,J,17,J17,Experimental,15364,69.95
Plate 1,J,18,J18,Experimental,9787,44.05
Plate 1,J,19,J19,Experimental,32151,147.9
Plate 1,J,20,J20,Experimental,20071,91.81
Plate 1,J,21,J21,Experimental,200,-0.46
Plate 1,J,22,J22,Experimental,16491,75.19
Plate 1,J,23,J23,High,8676,38.9
Plate 1,J,24,J24,High,31704,145.83
Plate 1,K,1,K01,Low,236,-0.3
Plate 1,K,2,K02,High,29770,136.85
Plate 1,K,3,K03,Experimental,19039,87.02
Plate 1,K,4,K04,Experimental,21926,100.42
Plate 1,K,5,K05,Experimental,5397,23.67
Plate 1,K,6,K06,Experimental,12323,55.83
Plate 1,K,7,K07,Experimental,11200,50.62
Plate 1,K,8,K08,Experimental,9773,43.99
Plate 1,K,9,K09,Experimental,29123,133.84
Plate 1,K,10,K10,Experimental,18239,83.3
Plate 1,K,11,K11,Experimental,4912,21.42
Plate 1,K,12,K12,Experimental,22342,102.35
Plate 1,K,13,K13,Experimental,31977,147.09
Plate 1,K,14,K14,Experimental,23259,106.61
Plate 1,K,15,K15,Experimental,2845,11.82
Plate 1,K,16,K16,Experimental,11126,50.27
Plate 1,K,17,K17,Experimental,25135,115.32
Plate 1,K,18,K18,Experimental,9338,41.97
Plate 1,K,19,K19,Experimental,18550,84.75
Plate 1,K,20,K20,Experimental,21197,97.04
Plate 1,K,21,K21,Experimental,7584,33.83
Plate 1,K,22,K22,Experimental,14523,66.05
Plate 1,K,23,K23,High,4000,17.18
Plate 1,K,24,K24,High,27951,128.4
Plate 1,L,1,L01,Low,279,-0.1
Plate 1,L,2,L02,High,27504,126.32
Plate 1,L,3,L03,Experimental,28059,128.9
Plate 1,L,4,L04,Experimental,3558,15.13
Plate 1,L,5,L05,Experimental,11479,51.91
Plate 1,L,6,L06,Experimental,16045,73.11
Plate 1,L,7,L07,Experimental,26530,121.8
Plate 1,L,8,L08,Experimental,3513,14.92
Plate 1,L,9,L09,Experimental,24305,111.47
Plate 1,L,10,L10,Experimental,15081,68.64
Plate 1,L,11,L11,Experimental,7147,31.8
Plate 1,L,12,L12,Experimental,18696,85.42
Plate 1,L,13,L13,Experimental,16592,75.65
Plate 1,L,14,L14,Experimental,10198,45.96
Plate 1,L,15,L15,Experimental,15558,70.85
Plate 1,L,16,L16,Experimental,11917,53.95
Plate 1,L,17,L17,Experimental,15908,72.48
Plate 1,L,18,L18,Experimental,20297,92.86
Plate 1,L,19,L19,Experimental,27688,127.18
Plate 1,L,20,L20,Experimental,5097,22.28
Plate 1,L,21,L21,Experimental,32064,147.5
Plate 1,L,22,L22,Experimental,200,-0.46
Plate 1,L,23,L23,High,9696,43.63
Plate 1,L,24,L24,High,31176,143.38
Plate 1,M,1,M01,Low,322,0.1
Plate 1,M,2,M02,High,28754,132.13
Plate 1,M,3,M03,Experimental,13335,60.53
Plate 1,M,4,M04,Experimental,11055,49.94
Plate 1,M,5,M05,Experimental,10285,46.37
Plate 1,M,6,M06,Experimental,21796,99.82
Plate 1,M,7,M07,Experimental,17856,81.52
Plate 1,M,8,M08,Experimental,9456,42.52
Plate 1,M,9,M09,Experimental,22196,101.68
Plate 1,M,10,M10,Experimental,17458,79.68
Plate 1,M,11,M11,Experimental,21502,98.45
Plate 1,M,12,M12,Experimental,20037,91.65
Plate 1,M,13,M13,Experimental,8368,37.47
Plate 1,M,14,M14,Experimental,10518,47.45
Plate 1,M,15,M15,Experimental,20978,96.02
Plate 1,M,16,M16,Experimental,19882,90.93
Plate 1,M,17,M17,Experimental,14832,67.48
Plate 1,M,18,M18,Experimental,15938,72.62
Plate 1,M,19,M19,Experimental,25221,115.72
Plate 1,M,20,M20,Experimental,10267,46.28
Plate 1,M,21,M21,Experimental,19376,88.58
Plate 1,M,22,M22,Experimental,13382,60.75
Plate 1,M,23,M23,High,9564,43.02
Plate 1,M,24,M24,High,32197,148.12
Plate 1,N,1,N01,Low,366,0.31
Plate 1,N,2,N02,High,31627,145.47
Plate 1,N,3,N03,Experimental,25443,116.75
Plate 1,N,4,N04,Experimental,15168,69.04
Plate 1,N,5,N05,Experimental,20455,93.59
Plate 1,N,6,N06,Experimental,12517,56.73
Plate 1,N,7,N07,Experimental,17593,80.3
Plate 1,N,8,N08,Experimental,13958,63.42
Plate 1,N,9,N09,Experimental,15775,71.86
Plate 1,N,10,N10,Experimental,19761,90.37
Plate 1,N,11,N11,Experimental,8454,37.86
Plate 1,N,12,N12,Experimental,31739,145.99
Plate 1,N,13,N13,Experimental,6951,30.89
Plate 1,N,14,N14,Experimental,5286,23.15
Plate 1,N,15,N15,Experimental,24264,111.28
Plate 1,N,16,N16,Experimental,21333,97.67
Plate 1,N,17,N17,Experimental,19992,91.44
Plate 1,N,18,N18,Experimental,20026,91.6
Plate 1,N,19,N19,Experimental,14902,67.81
Plate 1,N,20,N20,Experimental,7821,34.93
Plate 1,N,21,N21,Experimental,15606,71.08
Plate 1,N,22,N22,Experimental,9582,43.1
Plate 1,N,23,N23,High,11950,54.1
Plate 1,N,24,N24,High,29705,136.54
Plate 1,O,1,O01,Low,233,-0.31
Plate 1,O,2,O02,High,29357,134.93
Plate 1,O,3,O03,Experimental,18303,83.6
Plate 1,O,4,O04,Experimental,10490,47.32
Plate 1,O,5,O05,Experimental,8422,37.72
Plate 1,O,6,O06,Experimental,16949,77.31
Plate 1,O,7,O07,Experimental,16959,77.36
Plate 1,O,8,O08,Experimental,10944,49.43
Plate 1,O,9,O09,Experimental,11231,50.76
Plate 1,O,10,O10,Experimental,16856,76.88
Plate 1,O,11,O11,Experimental,3415,14.47
Plate 1,O,12,O12,Experimental,3740,15.98
Plate 1,O,13,O13,Experimental,9252,41.57
Plate 1,O,14,O14,Experimental,13292,60.33
Plate 1,O,15,O15,Experimental,17487,79.81
Plate 1,O,16,O16,Experimental,26802,123.06
Plate 1,O,17,O17,Experimental,21861,100.12
Plate 1,O,18,O18,Experimental,13720,62.32
Plate 1,O,19,O19,Experimental,14847,67.55
Plate 1,O,20,O20,Experimental,6979,31.02
Plate 1,O,21,O21,Experimental,14851,67.57
Plate 1,O,22,O22,Experimental,12690,57.53
Plate 1,O,23,O23,High,10645,48.04
Plate 1,O,24,O24,High,28345,130.23
Plate 1,P,1,P01,Low,341,0.19
Plate 1,P,2,P02,High,33065,152.15
Plate 1,P,3,P03,Experimental,14129,64.22
Plate 1,P,4,P04,Experimental,18213,83.18
Plate 1,P,5,P05,Experimental,20521,93.9
Plate 1,P,6,P06,Experimental,11790,53.36
Plate 1,P,7,P07,Experimental,16792,76.58
Plate 1,P,8,P08,Experimental,15100,68.73
Plate 1,P,9,P09,Experimental,15781,71.89
Plate 1,P,10,P10,Experimental,8815,39.54
Plate 1,P,11,P11,Experimental,15196,69.17
Plate 1,P,12,P12,Experimental,18983,86.76
Plate 1,P,13,P13,Experimental,26609,122.17
Plate 1,P,14,P14,Experimental,22674,103.9
Plate 1,P,15,P15,Experimental,32225,148.25
Plate 1,P,16,P16,Experimental,8861,39.75
Plate 1,P,17,P17,Experimental,21978,100.66
Plate 1,P,18,P18,Experimental,16466,75.07
Plate 1,P,19,P19,Experimental,32518,149.61
Plate 1,P,20,P20,Experimental,8533,38.23
Plate 1,P,21,P21,Experimental,8282,37.07
Plate 1,P,22,P22,Experimental,10204,45.99
Plate 1,P,23,P23,High,5752,25.32
Plate 1,P,24,P24,High,28948,133.03
Plate 2,A,1,A01,Low,435,0.58
Plate 2,A,2,A02,High,9068,41.07
Plate 2,A,3,A03,Experimental,15262,70.12
Plate 2,A,4,A04,Experimental,18260,84.18
Plate 2,A,5,A05,Experimental,8688,39.29
Plate 2,A,6,A06,Experimental,15016,68.96
Plate 2,A,7,A07,Experimental,14992,68.85
Plate 2,A,8,A08,Experimental,962,3.05
Plate 2,A,9,A09,Experimental,23141,107.07
Plate 2,A,10,A10,Experimental,19803,91.41
Plate 2,A,11,A11,Experimental,9996,45.42
Plate 2,A,12,A12,Experimental,13627,62.45
Plate 2,A,13,A13,Experimental,19042,87.85
Plate 2,A,14,A14,Experimental,12909,59.08
Plate 2,A,15,A15,Experimental,13058,59.78
Plate 2,A,16,A16,Experimental,3374,14.36
Plate 2,A,17,A17,Experimental,19436,89.69
Plate 2,A,18,A18,Experimental,15991,73.54
Plate 2,A,19,A19,Experimental,17195,79.18
Plate 2,A,20,A20,Experimental,2787,11.61
Plate 2,A,21,A21,Experimental,28205,130.82
Plate 2,A,22,A22,Experimental,16234,74.68
Plate 2,A,23,A23,Low,269,-0.2
Plate 2,A,24,A24,High,34058,158.27
Plate 2,B,1,B01,Low,296,-0.07
Plate 2,B,2,B02,High,7098,31.83
Plate 2,B,3,B03,Experimental,11758,53.68
Plate 2,B,4,B04,Experimental,200,-0.52
Plate 2,B,5,B05,Experimental,23395,108.26
Plate 2,B,6,B06,Experimental,11668,53.26
Plate 2,B,7,B07,Experimental,9059,41.03
Plate 2,B,8,B08,Experimental,23579,109.12
Plate 2,B,9,B09,Experimental,1791,6.94
Plate 2,B,10,B10,Experimental,19283,88.98
Plate 2,B,11,B11,Experimental,200,-0.52
Plate 2,B,12,B12,Experimental,9702,44.04
Plate 2,B,13,B13,Experimental,5366,23.71
Plate 2,B,14,B14,Experimental,26695,123.74
Plate 2,B,15,B15,Experimental,29129,135.15
Plate 2,B,16,B16,Experimental,12364,56.53
Plate 2,B,17,B17,Experimental,21725,100.43
Plate 2,B,18,B18,Experimental,13560,62.14
Plate 2,B,19,B19,Experimental,19544,90.2
Plate 2,B,20,B20,Experimental,8977,40.64
Plate 2,B,21,B21,Experimental,1333,4.79
Plate 2,B,22,B22,Experimental,575,1.24
Plate 2,B,23,B23,Low,330,0.09
Plate 2,B,24,B24,High,34495,160.32
Plate 2,C,1,C01,Low,321,0.04
Plate 2,C,2,C02,High,8950,40.51
Plate 2,C,3,C03,Experimental,30296,140.63
Plate 2,C,4,C04,Experimental,16898,77.79
Plate 2,C,5,C05,Experimental,15811,72.69
Plate 2,C,6,C06,Experimental,17020,78.36
Plate 2,C,7,C07,Experimental,13940,63.92
Plate 2,C,8,C08,Experimental,12524,57.28
Plate 2,C,9,C09,Experimental,3520,15.05
Plate 2,C,10,C10,Experimental,19012,87.71
Plate 2,C,11,C11,Experimental,14241,65.33
Plate 2,C,12,C12,Experimental,24544,113.65
Plate 2,C,13,C13,Experimental,12049,55.05
Plate 2,C,14,C14,Experimental,200,-0.52
Plate 2,C,15,C15,Experimental,14203,65.15
Plate 2,C,16,C16,Experimental,28596,132.65
Plate 2,C,17,C17,Experimental,11932,54.5
Plate 2,C,18,C18,Experimental,7881,35.5
Plate 2,C,19,C19,Experimental,5451,24.1
Plate 2,C,20,C20,Experimental,6599,29.49
Plate 2,C,21,C21,Experimental,12598,57.62
Plate 2,C,22,C22,Experimental,5560,24.61
Plate 2,C,23,C23,Low,419,0.5
Plate 2,C,24,C24,High,29434,136.58
Plate 2,D,1,D01,Low,308,-0.02
Plate 2,D,2,D02,High,12876,58.93
Plate 2,D,3,D03,Experimental,27026,125.29
Plate 2,D,4,D04,Experimental,13298,60.91
Plate 2,D,5,D05,Experimental,17655,81.34
Plate 2,D,6,D06,Experimental,20880,96.47
Plate 2,D,7,D07,Experimental,13457,61.65
Plate 2,D,8,D08,Experimental,775,2.17
Plate 2,D,9,D09,Experimental,20237,93.45
Plate 2,D,10,D10,Experimental,22154,102.44
Plate 2,D,11,D11,Experimental,18324,84.48
Plate 2,D,12,D12,Experimental,7611,34.23
Plate 2,D,13,D13,Experimental,13431,61.53
Plate 2,D,14,D14,Experimental,10273,46.72
Plate 2,D,15,D15,Experimental,12602,57.64
Plate 2,D,16,D16,Experimental,25375,117.55
Plate 2,D,17,D17,Experimental,27236,126.28
Plate 2,D,18,D18,Experimental,20355,94.0
Plate 2,D,19,D19,Experimental,19389,89.47
Plate 2,D,20,D20,Experimental,20413,94.28
Plate 2,D,21,D21,Experimental,14902,68.43
Plate 2,D,22,D22,Experimental,14394,66.05
Plate 2,D,23,D23,Low,246,-0.31
Plate 2,D,24,D24,High,29888,138.71
Plate 2,E,1,E01,Low,480,0.79
Plate 2,E,2,E02,High,11738,53.59
Plate 2,E,3,E03,Experimental,12263,56.05
Plate 2,E,4,E04,Experimental,11224,51.18
Plate 2,E,5,E05,Experimental,8084,36.45
Plate 2,E,6,E06,Experimental,17994,82.93
Plate 2,E,7,E07,Experimental,18132,83.58
Plate 2,E,8,E08,Experimental,3455,14.74
Plate 2,E,9,E09,Experimental,18890,87.13
Plate 2,E,10,E10,Experimental,10444,47.52
Plate 2,E,11,E11,Experimental,26413,122.42
Plate 2,E,12,E12,Experimental,16254,74.77
Plate 2,E,13,E13,Experimental,28741,133.33
Plate 2,E,14,E14,Experimental,11334,51.7
Plate 2,E,15,E15,Experimental,12696,58.08
Plate 2,E,16,E16,Experimental,17398,80.14
Plate 2,E,17,E17,Experimental,23447,108.51
Plate 2,E,18,E18,Experimental,19527,90.12
Plate 2,E,19,E19,Experimental,5131,22.6
Plate 2,E,20,E20,Experimental,16463,75.75
Plate 2,E,21,E21,Experimental,15177,69.72
Plate 2,E,22,E22,Experimental,11567,52.79
Plate 2,E,23,E23,Low,248,-0.3
Plate 2,E,24,E24,High,33495,155.63
Plate 2,F,1,F01,Low,268,-0.2
Plate 2,F,2,F02,High,8308,37.5
Plate 2,F,3,F03,Experimental,20096,92.79
Plate 2,F,4,F04,Experimental,16044,73.79
Plate 2,F,5,F05,Experimental,14393,66.04
Plate 2,F,6,F06,Experimental,21250,98.2
Plate 2,F,7,F07,Experimental,18909,87.22
Plate 2,F,8,F08,Experimental,17897,82.48
Plate 2,F,9,F09,Experimental,22713,105.06
Plate 2,F,10,F10,Experimental,17269,79.53
Plate 2,F,11,F11,Experimental,10064,45.74
Plate 2,F,12,F12,Experimental,12101,55.29
Plate 2,F,13,F13,Experimental,10832,49.34
Plate 2,F,14,F14,Experimental,16677,76.75
Plate 2,F,15,F15,Experimental,6376,28.44
Plate 2,F,16,F16,Experimental,340,0.13
Plate 2,F,17,F17,Experimental,15705,72.2
Plate 2,F,18,F18,Experimental,4307,18.74
Plate 2,F,19,F19,Experimental,200,-0.52
Plate 2,F,20,F20,Experimental,17986,82.89
Plate 2,F,21,F21,Experimental,9311,42.21
Plate 2,F,22,F22,Experimental,18969,87.5
Plate 2,F,23,F23,Low,257,-0.26
Plate 2,F,24,F24,High,27756,128.71
Plate 2,G,1,G01,Low,200,-0.52
Plate 2,G,2,G02,High,8970,40.61
Plate 2,G,3,G03,Experimental,12812,58.63
Plate 2,G,4,G04,Experimental,8412,37.99
Plate 2,G,5,G05,Experimental,12751,58.34
Plate 2,G,6,G06,Experimental,2711,11.25
Plate 2,G,7,G07,Experimental,15115,69.43
Plate 2,G,8,G08,Experimental,650,1.59
Plate 2,G,9,G09,Experimental,13449,61.61
Plate 2,G,10,G10,Experimental,20578,95.05
Plate 2,G,11,G11,Experimental,23735,109.86
Plate 2,G,12,G12,Experimental,28715,133.21
Plate 2,G,13,G13,Experimental,2549,10.49
Plate 2,G,14,G14,Experimental,21069,97.35
Plate 2,G,15,G15,Experimental,24650,114.15
Plate 2,G,16,G16,Experimental,22844,105.68
Plate 2,G,17,G17,Experimental,7565,34.02
Plate 2,G,18,G18,Experimental,18294,84.34
Plate 2,G,19,G19,Experimental,29880,138.68
Plate 2,G,20,G20,Experimental,3021,12.71
Plate 2,G,21,G21,Experimental,18810,86.76
Plate 2,G,22,G22,Experimental,23898,110.62
Plate 2,G,23,G23,Low,244,-0.32
Plate 2,G,24,G24,High,31165,144.7
Plate 2,H,1,H01,Low,214,-0.46
Plate 2,H,2,H02,High,8375,37.82
Plate 2,H,3,H03,Experimental,8463,38.23
Plate 2,H,4,H04,Experimental,16538,76.1
Plate 2,H,5,H05,Experimental,14272,65.47
Plate 2,H,6,H06,Experimental,22632,104.68
Plate 2,H,7,H07,Experimental,7477,33.61
Plate 2,H,8,H08,Experimental,13949,63.96
Plate 2,H,9,H09,Experimental,22688,104.95
Plate 2,H,10,H10,Experimental,19486,89.93
Plate 2,H,11,H11,Experimental,4402,19.18
Plate 2,H,12,H12,Experimental,20321,93.84
Plate 2,H,13,H13,Experimental,11172,50.94
Plate 2,H,14,H14,Experimental,18083,83.35
Plate 2,H,15,H15,Experimental,17405,80.17
Plate 2,H,16,H16,Experimental,24754,114.64
