Plate,PlateFile,Row,Column,Well,WellType,RFU
Plate 1,sample_384_plate.csv,C,4,C04,Experimental,11919
Plate 1,sample_384_plate.csv,C,5,C05,Experimental,9584
Plate 1,sample_384_plate.csv,C,6,C06,Experimental,19893
Plate 1,sample_384_plate.csv,C,7,C07,Experimental,23247
Plate 1,sample_384_plate.csv,C,8,C08,Experimental,22450
Plate 1,sample_384_plate.csv,C,9,C09,Experimental,8286
Plate 1,sample_384_plate.csv,C,10,C10,Experimental,12526
Plate 1,sample_384_plate.csv,C,11,C11,Experimental,17650
Plate 1,sample_384_plate.csv,C,12,C12,Experimental,22804
Plate 1,sample_384_plate.csv,C,13,C13,Experimental,11166
Plate 1,sample_384_plate.csv,C,14,C14,Experimental,13514
Plate 1,sample_384_plate.csv,C,15,C15,Experimental,6149
Plate 1,sample_384_plate.csv,C,16,C16,Experimental,5430
Plate 1,sample_384_plate.csv,C,17,C17,Experimental,21500
Plate 1,sample_384_plate.csv,C,18,C18,Experimental,25849
Plate 1,sample_384_plate.csv,C,19,C19,Experimental,14423
Plate 1,sample_384_plate.csv,C,20,C20,Experimental,23028
Plate 1,sample_384_plate.csv,C,21,C21,Experimental,17893
Plate 1,sample_384_plate.csv,C,22,C22,Experimental,9839
Plate 1,sample_384_plate.csv,C,23,C23,Low,328
Plate 1,sample_384_plate.csv,C,24,C24,High,33076
Plate 1,sample_384_plate.csv,D,1,D01,Low,297
Plate 1,sample_384_plate.csv,D,2,D02,High,13129
Plate 1,sample_384_plate.csv,D,3,D03,Experimental,200
Plate 1,sample_384_plate.csv,D,4,D04,Experimental,21575
Plate 1,sample_384_plate.csv,D,5,D05,Experimental,15696
Plate 1,sample_384_plate.csv,D,6,D06,Experimental,12607
Plate 1,sample_384_plate.csv,D,7,D07,Experimental,15734
Plate 1,sample_384_plate.csv,D,8,D08,Experimental,200
Plate 1,sample_384_plate.csv,D,9,D09,Experimental,13242
Plate 1,sample_384_plate.csv,D,10,D10,Experimental,17856
Plate 1,sample_384_plate.csv,D,11,D11,Experimental,26823
Plate 1,sample_384_plate.csv,D,12,D12,Experimental,10853
Plate 1,sample_384_plate.csv,D,13,D13,Experimental,8532
Plate 1,sample_384_plate.csv,D,14,D14,Experimental,10985
Plate 1,sample_384_plate.csv,D,15,D15,Experimental,22323
Plate 1,sample_384_plate.csv,D,16,D16,Experimental,17630
Plate 1,sample_384_plate.csv,D,17,D17,Experimental,10761
Plate 1,sample_384_plate.csv,D,18,D18,Experimental,19106
Plate 1,sample_384_plate.csv,D,19,D19,Experimental,15776
Plate 1,sample_384_plate.csv,D,20,D20,Experimental,22749
Plate 1,sample_384_plate.csv,D,21,D21,Experimental,9383
Plate 1,sample_384_plate.csv,D,22,D22,Experimental,12378
Plate 1,sample_384_plate.csv,D,23,D23,Low,268
Plate 1,sample_384_plate.csv,D,24,D24,High,27072
Plate 1,sample_384_plate.csv,E,1,E01,Low,323
Plate 1,sample_384_plate.csv,E,2,E02,High,10522
Plate 1,sample_384_plate.csv,E,3,E03,Experimental,15040
Plate 1,sample_384_plate.csv,E,4,E04,Experimental,13123
Plate 1,sample_384_plate.csv,E,5,E05,Experimental,3677
Plate 1,sample_384_plate.csv,E,6,E06,Experimental,11634
Plate 1,sample_384_plate.csv,E,7,E07,Experimental,12258
Plate 1,sample_384_plate.csv,E,8,E08,Experimental,8581
Plate 1,sample_384_plate.csv,E,9,E09,Experimental,13709
Plate 1,sample_384_plate.csv,E,10,E10,Experimental,18232
Plate 1,sample_384_plate.csv,E,11,E11,Experimental,30089
Plate 1,sample_384_plate.csv,E,12,E12,Experimental,16396
Plate 1,sample_384_plate.csv,E,13,E13,Experimental,17060
Plate 1,sample_384_plate.csv,E,14,E14,Experimental,14404
Plate 1,sample_384_plate.csv,E,15,E15,Experimental,200
Plate 1,sample_384_plate.csv,E,16,E16,Experimental,14787
Plate 1,sample_384_plate.csv,E,17,E17,Experimental,15481
Plate 1,sample_384_plate.csv,E,18,E18,Experimental,34705
Plate 1,sample_384_plate.csv,E,19,E19,Experimental,13461
Plate 1,sample_384_plate.csv,E,20,E20,Experimental,17412
Plate 1,sample_384_plate.csv,E,21,E21,Experimental,14722
Plate 1,sample_384_plate.csv,E,22,E22,Experimental,5650
Plate 1,sample_384_plate.csv,E,23,E23,Low,391
Plate 1,sample_384_plate.csv,E,24,E24,High,31503
Plate 1,sample_384_plate.csv,F,1,F01,Low,363
Plate 1,sample_384_plate.csv,F,2,F02,High,8181
Plate 1,sample_384_plate.csv,F,3,F03,Experimental,26222
Plate 1,sample_384_plate.csv,F,4,F04,Experimental,3785
Plate 1,sample_384_plate.csv,F,5,F05,Experimental,19694
Plate 1,sample_384_plate.csv,F,6,F06,Experimental,32523
Plate 1,sample_384_plate.csv,F,7,F07,Experimental,7075
Plate 1,sample_384_plate.csv,F,8,F08,Experimental,10469
Plate 1,sample_384_plate.csv,F,9,F09,Experimental,15797
Plate 1,sample_384_plate.csv,F,10,F10,Experimental,10972
Plate 1,sample_384_plate.csv,F,11,F11,Experimental,2594
Plate 1,sample_384_plate.csv,F,12,F12,Experimental,15548
Plate 1,sample_384_plate.csv,F,13,F13,Experimental,6501
Plate 1,sample_384_plate.csv,F,14,F14,Experimental,18788
Plate 1,sample_384_plate.csv,F,15,F15,Experimental,7644
Plate 1,sample_384_plate.csv,F,16,F16,Experimental,27399
Plate 1,sample_384_plate.csv,F,17,F17,Experimental,8733
Plate 1,sample_384_plate.csv,F,18,F18,Experimental,12423
Plate 1,sample_384_plate.csv,F,19,F19,Experimental,21508
Plate 1,sample_384_plate.csv,F,20,F20,Experimental,5153
Plate 1,sample_384_plate.csv,F,21,F21,Experimental,16819
Plate 1,sample_384_plate.csv,F,22,F22,Experimental,25457
Plate 1,sample_384_plate.csv,F,23,F23,Low,171
Plate 1,sample_384_plate.csv,F,24,F24,High,30369
Plate 1,sample_384_plate.csv,G,1,G01,Low,320
Plate 1,sample_384_plate.csv,G,2,G02,High,11563
Plate 1,sample_384_plate.csv,G,3,G03,Experimental,5104
Plate 1,sample_384_plate.csv,G,4,G04,Experimental,4436
Plate 1,sample_384_plate.csv,G,5,G05,Experimental,19175
Plate 1,sample_384_plate.csv,G,6,G06,Experimental,17375
Plate 1,sample_384_plate.csv,G,7,G07,Experimental,17003
Plate 1,sample_384_plate.csv,G,8,G08,Experimental,17771
Plate 1,sample_384_plate.csv,G,9,G09,Experimental,9559
Plate 1,sample_384_plate.csv,G,10,G10,Experimental,16858
Plate 1,sample_384_plate.csv,G,11,G11,Experimental,17344
Plate 1,sample_384_plate.csv,G,12,G12,Experimental,9285
Plate 1,sample_384_plate.csv,G,13,G13,Experimental,29926
Plate 1,sample_384_plate.csv,G,14,G14,Experimental,18790
Plate 1,sample_384_plate.csv,G,15,G15,Experimental,5469
Plate 1,sample_384_plate.csv,G,16,G16,Experimental,20252
Plate 1,sample_384_plate.csv,G,17,G17,Experimental,7202
Plate 1,sample_384_plate.csv,G,18,G18,Experimental,21296
Plate 1,sample_384_plate.csv,G,19,G19,Experimental,24268
Plate 1,sample_384_plate.csv,G,20,G20,Experimental,8434
Plate 1,sample_384_plate.csv,G,21,G21,Experimental,22707
Plate 1,sample_384_plate.csv,G,22,G22,Experimental,18302
Plate 1,sample_384_plate.csv,G,23,G23,Low,365
Plate 1,sample_384_plate.csv,G,24,G24,High,33793
Plate 1,sample_384_plate.csv,H,1,H01,Low,280
Plate 1,sample_384_plate.csv,H,2,H02,High,8492
Plate 1,sample_384_plate.csv,H,3,H03,Experimental,7883
Plate 1,sample_384_plate.csv,H,4,H04,Experimental,8473
Plate 1,sample_384_plate.csv,H,5,H05,Experimental,14383
Plate 1,sample_384_plate.csv,H,6,H06,Experimental,17729
Plate 1,sample_384_plate.csv,H,7,H07,Experimental,17213
Plate 1,sample_384_plate.csv,H,8,H08,Experimental,21617
Plate 1,sample_384_plate.csv,H,9,H09,Experimental,15104
Plate 1,sample_384_plate.csv,H,10,H10,Experimental,26628
Plate 1,sample_384_plate.csv,H,11,H11,Experimental,12882
Plate 1,sample_384_plate.csv,H,12,H12,Experimental,36761
Plate 1,sample_384_plate.csv,H,13,H13,Experimental,20005
Plate 1,sample_384_plate.csv,H,14,H14,Experimental,8142
Plate 1,sample_384_plate.csv,H,15,H15,Experimental,6432
Plate 1,sample_384_plate.csv,H,16,H16,Experimental,18859
Plate 1,sample_384_plate.csv,H,17,H17,Experimental,13212
Plate 1,sample_384_plate.csv,H,18,H18,Experimental,20712
Plate 1,sample_384_plate.csv,H,19,H19,Experimental,18785
Plate 1,sample_384_plate.csv,H,20,H20,Experimental,14417
Plate 1,sample_384_plate.csv,H,21,H21,Experimental,8225
Plate 1,sample_384_plate.csv,H,22,H22,Experimental,2881
Plate 1,sample_384_plate.csv,H,23,H23,Low,264
Plate 1,sample_384_plate.csv,H,24,H24,High,31712
Plate 1,sample_384_plate.csv,I,1,I01,Low,317
Plate 1,sample_384_plate.csv,I,2,I02,High,27508
Plate 1,sample_384_plate.csv,I,3,I03,Experimental,16385
Plate 1,sample_384_plate.csv,I,4,I04,Experimental,18082
Plate 1,sample_384_plate.csv,I,5,I05,Experimental,7929
Plate 1,sample_384_plate.csv,I,6,I06,Experimental,16229
Plate 1,sample_384_plate.csv,I,7,I07,Experimental,15465
Plate 1,sample_384_plate.csv,I,8,I08,Experimental,5856
Plate 1,sample_384_plate.csv,I,9,I09,Experimental,17862
Plate 1,sample_384_plate.csv,I,10,I10,Experimental,19486
Plate 1,sample_384_plate.csv,I,11,I11,Experimental,23664
Plate 1,sample_384_plate.csv,I,12,I12,Experimental,23430
Plate 1,sample_384_plate.csv,I,13,I13,Experimental,3978
Plate 1,sample_384_plate.csv,I,14,I14,Experimental,7497
Plate 1,sample_384_plate.csv,I,15,I15,Experimental,19120
Plate 1,sample_384_plate.csv,I,16,I16,Experimental,19110
Plate 1,sample_384_plate.csv,I,17,I17,Experimental,19120
Plate 1,sample_384_plate.csv,I,18,I18,Experimental,38000
Plate 1,sample_384_plate.csv,I,19,I19,Experimental,19567
Plate 1,sample_384_plate.csv,I,20,I20,Experimental,24084
Plate 1,sample_384_plate.csv,I,21,I21,Experimental,22632
Plate 1,sample_384_plate.csv,I,22,I22,Experimental,20211
Plate 1,sample_384_plate.csv,I,23,I23,High,9369
Plate 1,sample_384_plate.csv,I,24,I24,High,31517
Plate 1,sample_384_plate.csv,J,1,J01,Low,238
Plate 1,sample_384_plate.csv,J,2,J02,High,29526
Plate 1,sample_384_plate.csv,J,3,J03,Experimental,11117
Plate 1,sample_384_plate.csv,J,4,J04,Experimental,15654
Plate 1,sample_384_plate.csv,J,5,J05,Experimental,33517
Plate 1,sample_384_plate.csv,J,6,J06,Experimental,200
Plate 1,sample_384_plate.csv,J,7,J07,Experimental,20490
Plate 1,sample_384_plate.csv,J,8,J08,Experimental,2098
Plate 1,sample_384_plate.csv,J,9,J09,Experimental,11224
Plate 1,sample_384_plate.csv,J,10,J10,Experimental,23711
Plate 1,sample_384_plate.csv,J,11,J11,Experimental,15514
Plate 1,sample_384_plate.csv,J,12,J12,Experimental,6378
Plate 1,sample_384_plate.csv,J,13,J13,Experimental,9277
Plate 1,sample_384_plate.csv,J,14,J14,Experimental,20436
Plate 1,sample_384_plate.csv,J,15,J15,Experimental,9157
Plate 1,sample_384_plate.csv,J,16,J16,Experimental,16731
Plate 1,sample_384_plate.csv,J,17,J17,Experimental,15364
Plate 1,sample_384_plate.csv,J,18,J18,Experimental,9787
Plate 1,sample_384_plate.csv,J,19,J19,Experimental,32151
Plate 1,sample_384_plate.csv,J,20,J20,Experimental,20071
Plate 1,sample_384_plate.csv,J,21,J21,Experimental,200
Plate 1,sample_384_plate.csv,J,22,J22,Experimental,16491
Plate 1,sample_384_plate.csv,J,23,J23,High,8676
Plate 1,sample_384_plate.csv,J,24,J24,High,31704
Plate 1,sample_384_plate.csv,K,1,K01,Low,236
Plate 1,sample_384_plate.csv,K,2,K02,High,29770
Plate 1,sample_384_plate.csv,K,3,K03,Experimental,19039
Plate 1,sample_384_plate.csv,K,4,K04,Experimental,21926
Plate 1,sample_384_plate.csv,K,5,K05,Experimental,5397
Plate 1,sample_384_plate.csv,K,6,K06,Experimental,12323
Plate 1,sample_384_plate.csv,K,7,K07,Experimental,11200
Plate 1,sample_384_plate.csv,K,8,K08,Experimental,9773
Plate 1,sample_384_plate.csv,K,9,K09,Experimental,29123
Plate 1,sample_384_plate.csv,K,10,K10,Experimental,18239
Plate 1,sample_384_plate.csv,K,11,K11,Experimental,4912
Plate 1,sample_384_plate.csv,K,12,K12,Experimental,22342
Plate 1,sample_384_plate.csv,K,13,K13,Experimental,31977
Plate 1,sample_384_plate.csv,K,14,K14,Experimental,23259
Plate 1,sample_384_plate.csv,K,15,K15,Experimental,2845
Plate 1,sample_384_plate.csv,K,16,K16,Experimental,11126
Plate 1,sample_384_plate.csv,K,17,K17,Experimental,25135
Plate 1,sample_384_plate.csv,K,18,K18,Experimental,9338
Plate 1,sample_384_plate.csv,K,19,K19,Experimental,18550
Plate 1,sample_384_plate.csv,K,20,K20,Experimental,21197
Plate 1,sample_384_plate.csv,K,21,K21,Experimental,7584
Plate 1,sample_384_plate.csv,K,22,K22,Experimental,14523
Plate 1,sample_384_plate.csv,K,23,K23,High,4000
Plate 1,sample_384_plate.csv,K,24,K24,High,27951
Plate 1,sample_384_plate.csv,L,1,L01,Low,279
Plate 1,sample_384_plate.csv,L,2,L02,High,27504
Plate 1,sample_384_plate.csv,L,3,L03,Experimental,28059
Plate 1,sample_384_plate.csv,L,4,L04,Experimental,3558
Plate 1,sample_384_plate.csv,L,5,L05,Experimental,11479
Plate 1,sample_384_plate.csv,L,6,L06,Experimental,16045
Plate 1,sample_384_plate.csv,L,7,L07,Experimental,26530
Plate 1,sample_384_plate.csv,L,8,L08,Experimental,3513
Plate 1,sample_384_plate.csv,L,9,L09,Experimental,24305
Plate 1,sample_384_plate.csv,L,10,L10,Experimental,15081
Plate 1,sample_384_plate.csv,L,11,L11,Experimental,7147
Plate 1,sample_384_plate.csv,L,12,L12,Experimental,18696
Plate 1,sample_384_plate.csv,L,13,L13,Experimental,16592
Plate 1,sample_384_plate.csv,L,14,L14,Experimental,10198
Plate 1,sample_384_plate.csv,L,15,L15,Experimental,15558
Plate 1,sample_384_plate.csv,L,16,L16,Experimental,11917
Plate 1,sample_384_plate.csv,L,17,L17,Experimental,15908
Plate 1,sample_384_plate.csv,L,18,L18,Experimental,20297
Plate 1,sample_384_plate.csv,L,19,L19,Experimental,27688
Plate 1,sample_384_plate.csv,L,20,L20,Experimental,5097
Plate 1,sample_384_plate.csv,L,21,L21,Experimental,32064
Plate 1,sample_384_plate.csv,L,22,L22,Experimental,200
Plate 1,sample_384_plate.csv,L,23,L23,High,9696
Plate 1,sample_384_plate.csv,L,24,L24,High,31176
Plate 1,sample_384_plate.csv,M,1,M01,Low,322
Plate 1,sample_384_plate.csv,M,2,M02,High,28754
Plate 1,sample_384_plate.csv,M,3,M03,Experimental,13335
Plate 1,sample_384_plate.csv,M,4,M04,Experimental,11055
Plate 1,sample_384_plate.csv,M,5,M05,Experimental,10285
Plate 1,sample_384_plate.csv,M,6,M06,Experimental,21796
Plate 1,sample_384_plate.csv,M,7,M07,Experimental,17856
Plate 1,sample_384_plate.csv,M,8,M08,Experimental,9456
Plate 1,sample_384_plate.csv,M,9,M09,Experimental,22196
Plate 1,sample_384_plate.csv,M,10,M10,Experimental,17458
Plate 1,sample_384_plate.csv,M,11,M11,Experimental,21502
Plate 1,sample_384_plate.csv,M,12,M12,Experimental,20037
Plate 1,sample_384_plate.csv,M,13,M13,Experimental,8368
Plate 1,sample_384_plate.csv,M,14,M14,Experimental,10518
Plate 1,sample_384_plate.csv,M,15,M15,Experimental,20978
Plate 1,sample_384_plate.csv,M,16,M16,Experimental,19882
Plate 1,sample_384_plate.csv,M,17,M17,Experimental,14832
Plate 1,sample_384_plate.csv,M,18,M18,Experimental,15938
Plate 1,sample_384_plate.csv,M,19,M19,Experimental,25221
Plate 1,sample_384_plate.csv,M,20,M20,Experimental,10267
Plate 1,sample_384_plate.csv,M,21,M21,Experimental,19376
Plate 1,sample_384_plate.csv,M,22,M22,Experimental,13382
Plate 1,sample_384_plate.csv,M,23,M23,High,9564
Plate 1,sample_384_plate.csv,M,24,M24,High,32197
Plate 1,sample_384_plate.csv,N,1,N01,Low,366
Plate 1,sample_384_plate.csv,N,2,N02,High,31627
Plate 1,sample_384_plate.csv,N,3,N03,Experimental,25443
Plate 1,sample_384_plate.csv,N,4,N04,Experimental,15168
Plate 1,sample_384_plate.csv,N,5,N05,Experimental,20455
Plate 1,sample_384_plate.csv,N,6,N06,Experimental,12517
Plate 1,sample_384_plate.csv,N,7,N07,Experimental,17593
Plate 1,sample_384_plate.csv,N,8,N08,Experimental,13958
Plate 1,sample_384_plate.csv,N,9,N09,Experimental,15775
Plate 1,sample_384_plate.csv,N,10,N10,Experimental,19761
Plate 1,sample_384_plate.csv,N,11,N11,Experimental,8454
Plate 1,sample_384_plate.csv,N,12,N12,Experimental,31739
Plate 1,sample_384_plate.csv,N,13,N13,Experimental,6951
Plate 1,sample_384_plate.csv,N,14,N14,Experimental,5286
Plate 1,sample_384_plate.csv,N,15,N15,Experimental,24264
Plate 1,sample_384_plate.csv,N,16,N16,Experimental,21333
Plate 1,sample_384_plate.csv,N,17,N17,Experimental,19992
Plate 1,sample_384_plate.csv,N,18,N18,Experimental,20026
Plate 1,sample_384_plate.csv,N,19,N19,Experimental,14902
Plate 1,sample_384_plate.csv,N,20,N20,Experimental,7821
Plate 1,sample_384_plate.csv,N,21,N21,Experimental,15606
Plate 1,sample_384_plate.csv,N,22,N22,Experimental,9582
Plate 1,sample_384_plate.csv,N,23,N23,High,11950
Plate 1,sample_384_plate.csv,N,24,N24,High,29705
Plate 1,sample_384_plate.csv,O,1,O01,Low,233
Plate 1,sample_384_plate.csv,O,2,O02,High,29357
Plate 1,sample_384_plate.csv,O,3,O03,Experimental,18303
Plate 1,sample_384_plate.csv,O,4,O04,Experimental,10490
Plate 1,sample_384_plate.csv,O,5,O05,Experimental,8422
Plate 1,sample_384_plate.csv,O,6,O06,Experimental,16949
Plate 1,sample_384_plate.csv,O,7,O07,Experimental,16959
Plate 1,sample_384_plate.csv,O,8,O08,Experimental,10944
Plate 1,sample_384_plate.csv,O,9,O09,Experimental,11231
Plate 1,sample_384_plate.csv,O,10,O10,Experimental,16856
Plate 1,sample_384_plate.csv,O,11,O11,Experimental,3415
Plate 1,sample_384_plate.csv,O,12,O12,Experimental,3740
Plate 1,sample_384_plate.csv,O,13,O13,Experimental,9252
Plate 1,sample_384_plate.csv,O,14,O14,Experimental,13292
Plate 1,sample_384_plate.csv,O,15,O15,Experimental,17487
Plate 1,sample_384_plate.csv,O,16,O16,Experimental,26802
Plate 1,sample_384_plate.csv,O,17,O17,Experimental,21861
Plate 1,sample_384_plate.csv,O,18,O18,Experimental,13720
Plate 1,sample_384_plate.csv,O,19,O19,Experimental,14847
Plate 1,sample_384_plate.csv,O,20,O20,Experimental,6979
Plate 1,sample_384_plate.csv,O,21,O21,Experimental,14851
Plate 1,sample_384_plate.csv,O,22,O22,Experimental,12690
Plate 1,sample_384_plate.csv,O,23,O23,High,10645
Plate 1,sample_384_plate.csv,O,24,O24,High,28345
Plate 1,sample_384_plate.csv,P,1,P01,Low,341
Plate 1,sample_384_plate.csv,P,2,P02,High,33065
Plate 1,sample_384_plate.csv,P,3,P03,Experimental,14129
Plate 1,sample_384_plate.csv,P,4,P04,Experimental,18213
Plate 1,sample_384_plate.csv,P,5,P05,Experimental,20521
Plate 1,sample_384_plate.csv,P,6,P06,Experimental,11790
Plate 1,sample_384_plate.csv,P,7,P07,Experimental,16792
Plate 1,sample_384_plate.csv,P,8,P08,Experimental,15100
Plate 1,sample_384_plate.csv,P,9,P09,Experimental,15781
Plate 1,sample_384_plate.csv,P,10,P10,Experimental,8815
Plate 1,sample_384_plate.csv,P,11,P11,Experimental,15196
Plate 1,sample_384_plate.csv,P,12,P12,Experimental,18983
Plate 1,sample_384_plate.csv,P,13,P13,Experimental,26609
Plate 1,sample_384_plate.csv,P,14,P14,Experimental,22674
Plate 1,sample_384_plate.csv,P,15,P15,Experimental,32225
Plate 1,sample_384_plate.csv,P,16,P16,Experimental,8861
Plate 1,sample_384_plate.csv,P,17,P17,Experimental,21978
Plate 1,sample_384_plate.csv,P,18,P18,Experimental,16466
Plate 1,sample_384_plate.csv,P,19,P19,Experimental,32518
Plate 1,sample_384_plate.csv,P,20,P20,Experimental,8533
Plate 1,sample_384_plate.csv,P,21,P21,Experimental,8282
Plate 1,sample_384_plate.csv,P,22,P22,Experimental,10204
Plate 1,sample_384_plate.csv,P,23,P23,High,5752
Plate 1,sample_384_plate.csv,P,24,P24,High,28948
Plate 2,sample_384_plate2.csv,A,1,A01,Low,435
Plate 2,sample_384_plate2.csv,A,2,A02,High,9068
Plate 2,sample_384_plate2.csv,A,3,A03,Experimental,15262
Plate 2,sample_384_plate2.csv,A,4,A04,Experimental,18260
Plate 2,sample_384_plate2.csv,A,5,A05,Experimental,8688
Plate 2,sample_384_plate2.csv,A,6,A06,Experimental,15016
Plate 2,sample_384_plate2.csv,A,7,A07,Experimental,14992
Plate 2,sample_384_plate2.csv,A,8,A08,Experimental,962
Plate 2,sample_384_plate2.csv,A,9,A09,Experimental,23141
Plate 2,sample_384_plate2.csv,A,10,A10,Experimental,19803
Plate 2,sample_384_plate2.csv,A,11,A11,Experimental,9996
Plate 2,sample_384_plate2.csv,A,12,A12,Experimental,13627
Plate 2,sample_384_plate2.csv,A,13,A13,Experimental,19042
Plate 2,sample_384_plate2.csv,A,14,A14,Experimental,12909
Plate 2,sample_384_plate2.csv,A,15,A15,Experimental,13058
Plate 2,sample_384_plate2.csv,A,16,A16,Experimental,3374
Plate 2,sample_384_plate2.csv,A,17,A17,Experimental,19436
Plate 2,sample_384_plate2.csv,A,18,A18,Experimental,15991
Plate 2,sample_384_plate2.csv,A,19,A19,Experimental,17195
Plate 2,sample_384_plate2.csv,A,20,A20,Experimental,2787
Plate 2,sample_384_plate2.csv,A,21,A21,Experimental,28205
Plate 2,sample_384_plate2.csv,A,22,A22,Experimental,16234
Plate 2,sample_384_plate2.csv,A,23,A23,Low,269
Plate 2,sample_384_plate2.csv,A,24,A24,High,34058
Plate 2,sample_384_plate2.csv,B,1,B01,Low,296
Plate 2,sample_384_plate2.csv,B,2,B02,High,7098
Plate 2,sample_384_plate2.csv,B,3,B03,Experimental,11758
Plate 2,sample_384_plate2.csv,B,4,B04,Experimental,200
Plate 2,sample_384_plate2.csv,B,5,B05,Experimental,23395
Plate 2,sample_384_plate2.csv,B,6,B06,Experimental,11668
Plate 2,sample_384_plate2.csv,B,7,B07,Experimental,9059
Plate 2,sample_384_plate2.csv,B,8,B08,Experimental,23579
Plate 2,sample_384_plate2.csv,B,9,B09,Experimental,1791
Plate 2,sample_384_plate2.csv,B,10,B10,Experimental,19283
Plate 2,sample_384_plate2.csv,B,11,B11,Experimental,200
Plate 2,sample_384_plate2.csv,B,12,B12,Experimental,9702
Plate 2,sample_384_plate2.csv,B,13,B13,Experimental,5366
Plate 2,sample_384_plate2.csv,B,14,B14,Experimental,26695
Plate 2,sample_384_plate2.csv,B,15,B15,Experimental,29129
Plate 2,sample_384_plate2.csv,B,16,B16,Experimental,12364
Plate 2,sample_384_plate2.csv,B,17,B17,Experimental,21725
Plate 2,sample_384_plate2.csv,B,18,B18,Experimental,13560
Plate 2,sample_384_plate2.csv,B,19,B19,Experimental,19544
Plate 2,sample_384_plate2.csv,B,20,B20,Experimental,8977
Plate 2,sample_384_plate2.csv,B,21,B21,Experimental,1333
Plate 2,sample_384_plate2.csv,B,22,B22,Experimental,575
Plate 2,sample_384_plate2.csv,B,23,B23,Low,330
Plate 2,sample_384_plate2.csv,B,24,B24,High,34495
Plate 2,sample_384_plate2.csv,C,1,C01,Low,321
Plate 2,sample_384_plate2.csv,C,2,C02,High,8950
Plate 2,sample_384_plate2.csv,C,3,C03,Experimental,30296
Plate 2,sample_384_plate2.csv,C,4,C04,Experimental,16898
Plate 2,sample_384_plate2.csv,C,5,C05,Experimental,15811
Plate 2,sample_384_plate2.csv,C,6,C06,Experimental,17020
Plate 2,sample_384_plate2.csv,C,7,C07,Experimental,13940
Plate 2,sample_384_plate2.csv,C,8,C08,Experimental,12524
Plate 2,sample_384_plate2.csv,C,9,C09,Experimental,3520
