Plate,Well,Row,Column,% Activity
Plate 2,B14,B,14,89.58
Plate 2,E11,E,11,88.62
Plate 2,L08,L,8,87.71
Plate 2,M20,M,20,87.71
Plate 2,D16,D,16,85.1
Plate 2,K07,K,7,84.86
Plate 2,M05,M,5,84.69
Plate 2,K03,K,3,84.51
Plate 2,K21,K,21,83.68
Plate 2,H16,H,16,82.99
Plate 2,G15,G,15,82.64
Plate 2,C12,C,12,82.28
Plate 2,J20,J,20,81.69
Plate 2,N16,N,16,81.68
Plate 2,P18,P,18,81.66
Plate 2,J21,J,21,80.98
Plate 2,H22,H,22,80.78
Plate 2,G22,G,22,80.08
Plate 2,G11,G,11,79.53
Plate 2,B08,B,8,79.0
Plate 2,E17,E,17,78.55
Plate 2,B05,B,5,78.38
Plate 2,M08,M,8,77.75
Plate 2,A09,A,9,77.51
Plate 2,I10,I,10,77.44
Plate 2,G16,G,16,76.51
Plate 2,K16,K,16,76.38
Plate 2,J17,J,17,76.3
Plate 2,F09,F,9,76.06
Plate 2,H09,H,9,75.98
Plate 2,H06,H,6,75.79
Plate 2,I07,I,7,75.37
Plate 2,L12,L,12,75.3
Plate 2,M17,M,17,75.2
Plate 2,P21,P,21,75.03
Plate 3,I14,I,14,127.68
Plate 3,G12,G,12,114.45
Plate 3,A18,A,18,108.05
Plate 3,K22,K,22,106.48
Plate 3,C22,C,22,105.43
Plate 3,C08,C,8,104.39
Plate 3,K18,K,18,103.52
Plate 3,B08,B,8,101.07
Plate 3,B21,B,21,99.9
Plate 3,D21,D,21,97.18
Plate 3,N09,N,9,96.32
Plate 3,M14,M,14,92.24
Plate 3,O20,O,20,91.57
Plate 3,A09,A,9,89.86
Plate 3,L15,L,15,88.45
Plate 3,B05,B,5,87.7
Plate 3,C07,C,7,86.38
Plate 3,A07,A,7,86.37
Plate 3,A05,A,5,86.24
Plate 3,O05,O,5,85.57
Plate 3,L12,L,12,85.13
Plate 3,P03,P,3,84.34
Plate 3,P04,P,4,83.84
Plate 3,M22,M,22,82.65
Plate 3,J11,J,11,82.17
Plate 3,A22,A,22,82.05
Plate 3,H07,H,7,81.74
Plate 3,M11,M,11,81.56
Plate 3,M12,M,12,80.93
Plate 3,O22,O,22,80.88
Plate 3,B18,B,18,80.63
Plate 3,H09,H,9,79.44
Plate 3,E18,E,18,79.32
Plate 3,G22,G,22,78.94
Plate 3,N03,N,3,78.31
Plate 3,L10,L,10,78.14
Plate 3,P19,P,19,77.89
Plate 3,F19,F,19,76.7
Plate 3,J07,J,7,75.89
Plate 3,I06,I,6,75.67
Plate 3,J22,J,22,75.55
Plate 3,N11,N,11,75.43
Plate 3,J21,J,21,75.26
Plate 3,H04,H,4,75.22
Plate 4,C10,C,10,127.05
Plate 4,L13,L,13,120.53
Plate 4,O05,O,5,118.26
Plate 4,G20,G,20,113.4
Plate 4,L15,L,15,109.77
Plate 4,B09,B,9,109.05
Plate 4,N16,N,16,108.08
Plate 4,P22,P,22,102.93
Plate 4,P21,P,21,102.45
Plate 4,L03,L,3,98.2
Plate 4,L09,L,9,97.4
Plate 4,B19,B,19,97.09
Plate 4,F13,F,13,96.99
Plate 4,B17,B,17,95.39
Plate 4,J15,J,15,94.64
Plate 4,E10,E,10,93.89
Plate 4,N19,N,19,93.53
Plate 4,E08,E,8,92.52
Plate 4,P04,P,4,92.51
Plate 4,E11,E,11,91.11
Plate 4,E04,E,4,89.6
Plate 4,F03,F,3,89.2
Plate 4,P17,P,17,88.74
Plate 4,L08,L,8,88.26
Plate 4,E09,E,9,87.45
Plate 4,N14,N,14,87.29
Plate 4,D11,D,11,87.2
Plate 4,I09,I,9,86.37
Plate 4,C20,C,20,86.33
Plate 4,J08,J,8,86.24
Plate 4,A04,A,4,85.4
Plate 4,J17,J,17,84.96
Plate 4,P09,P,9,84.52
Plate 4,I06,I,6,84.43
Plate 4,C18,C,18,84.27
Plate 4,D04,D,4,84.02
Plate 4,L14,L,14,83.53
Plate 4,G05,G,5,83.1
Plate 4,K22,K,22,82.67
Plate 4,N17,N,17,82.53
Plate 4,P12,P,12,81.94
Plate 4,M08,M,8,81.58
Plate 4,M07,M,7,81.54
Plate 4,J10,J,10,81.09
Plate 4,O09,O,9,81.03
Plate 4,L16,L,16,80.97
Plate 4,G04,G,4,80.84
Plate 4,O10,O,10,79.86
Plate 4,K06,K,6,78.62
Plate 4,L10,L,10,77.23
Plate 4,M11,M,11,77.06
Plate 4,F04,F,4,76.95
Plate 4,C09,C,9,76.78
Plate 4,F05,F,5,76.68
Plate 4,F06,F,6,76.44
Plate 4,H16,H,16,76.18
Plate 4,K05,K,5,76.1
Plate 4,M04,M,4,75.68
Plate 5,D14,D,14,129.24
Plate 5,F03,F,3,129.24
Plate 5,K19,K,19,129.24
Plate 5,H07,H,7,118.29
Plate 5,C15,C,15,116.95
Plate 5,E12,E,12,116.64
Plate 5,G20,G,20,112.93
Plate 5,O06,O,6,110.96
Plate 5,F08,F,8,110.57
Plate 5,M11,M,11,107.8
Plate 5,H09,H,9,103.53
Plate 5,F04,F,4,99.89
Plate 5,H17,H,17,98.27
Plate 5,P19,P,19,97.74
Plate 5,A13,A,13,96.1
Plate 5,A11,A,11,95.83
Plate 5,D09,D,9,95.36
Plate 5,N14,N,14,93.96
Plate 5,C09,C,9,92.98
Plate 5,I20,I,20,92.75
Plate 5,G12,G,12,92.57
Plate 5,M21,M,21,90.55
Plate 5,O15,O,15,90.55
Plate 5,B04,B,4,90.19
Plate 5,A16,A,16,87.94
Plate 5,J09,J,9,86.68
Plate 5,C12,C,12,86.01
Plate 5,O21,O,21,85.93
Plate 5,M12,M,12,84.64
Plate 5,J22,J,22,84.49
Plate 5,C20,C,20,84.39
Plate 5,B11,B,11,83.61
Plate 5,O11,O,11,83.12
Plate 5,H13,H,13,82.75
Plate 5,P05,P,5,82.42
Plate 5,D03,D,3,81.42
Plate 5,I03,I,3,81.2
Plate 5,P18,P,18,80.18
Plate 5,E22,E,22,79.66
Plate 5,K12,K,12,79.44
Plate 5,K15,K,15,79.11
Plate 5,G11,G,11,78.86
Plate 5,D21,D,21,78.55
Plate 5,I14,I,14,78.36
Plate 5,B10,B,10,78.31
Plate 5,F15,F,15,77.88
Plate 5,D20,D,20,77.87
Plate 5,C16,C,16,77.53
Plate 5,E04,E,4,76.6
Plate 5,O10,O,10,76.54
Plate 5,L03,L,3,76.4
Plate 5,B19,B,19,75.05
Plate 5,A09,A,9,75.02
